epoch,avg_loss,best_loss,best_epoch,is_best
177,0.00155013,0.00142711,176,0
178,0.00165681,0.00142711,176,0
179,0.00165766,0.00142711,176,0
180,0.00164793,0.00142711,176,0
181,0.00166592,0.00142711,176,0
182,0.00156188,0.00142711,176,0
183,0.00151492,0.00142711,176,0
184,0.00151811,0.00142711,176,0
185,0.00151145,0.00142711,176,0
186,0.00162095,0.00142711,176,0
187,0.00175529,0.00142711,176,0
188,0.00184476,0.00142711,176,0
189,0.00178454,0.00142711,176,0
190,0.00163819,0.00142711,176,0
191,0.00156089,0.00142711,176,0
192,0.00149553,0.00142711,176,0
193,0.00144391,0.00142711,176,0
194,0.00144780,0.00142711,176,0
195,0.00149958,0.00142711,176,0
196,0.00156446,0.00142711,176,0
197,0.00185228,0.00142711,176,0
198,0.00191634,0.00142711,176,0
199,0.00169963,0.00142711,176,0
200,0.00165444,0.00142711,176,0
